genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9,treatment10
gene308,0,2228,0,0,0,0,0,234,0,0,0,0,2,0,0,2,1,0,0,2
gene309,0,0,1,1,0,5,0,0,11,1,0,0,0,0,0,0,0,0,0,0
gene310,308,0,1067,1,0,40,176,132,1,267,10,15,7,7,0,100,78,0,2,1
gene311,6,2,0,0,0,0,0,0,2,0,0,1746,36130,8008,0,0,179,4636,0,0
gene312,0,0,0,1,0,0,0,0,0,0,15,30,0,98,7,0,57,0,0,0
gene313,0,0,5,0,13,6,0,13,1,2,3,0,1,0,1,0,3,1,3,0
gene314,1392,31,41,0,54,0,0,0,0,0,2,190,0,0,11,2240,2,0,0,0
gene315,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
gene316,0,0,0,19,13,0,0,89,7,0,13274,3652,0,1811,45,380,452,0,0,9027
gene317,0,0,0,30406,285,0,8,0,10,0,6051,95,5626,519,726,0,71,917,0,2011
gene318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene319,0,0,1,0,0,0,0,0,0,0,4718,1262,191,0,77,908,0,750,0,74
gene320,0,1912,0,0,0,0,2332,0,0,0,0,0,0,0,0,0,0,0,0,0
gene321,241,7,504,43,273,123,2,40,1,3,0,0,0,0,0,0,0,0,0,0
gene322,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0
gene323,0,1,0,0,0,0,0,0,0,0,220,1,65,1,29,0,12,56,0,0
gene324,3,11,50,5,51,84,121,161,203,19,0,0,3,4,0,0,0,1,2,1
gene325,10,7,0,0,0,80,91,0,79,220,41,30,239,176,35,1123,271,2,139,126
gene326,47,12,0,0,0,2,3,2,1,6,0,3497,5685,615,0,2006,0,482,26,57
gene327,0,0,0,14266,0,0,0,0,0,0,0,0,0,2,1,4,5,3,11,0
gene328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
gene329,7,9,1,0,13,1,6,1,3,2,1,2,0,0,2,0,1,0,0,1
gene330,6,0,1,19,11,3,0,16,1,0,0,1,13,19,11,169,11,2,2,15
gene331,6,3,0,0,1,3,5,1,0,0,0,0,0,15066,0,0,234,0,0,0
gene332,0,0,0,0,0,0,0,0,0,0,3,25,13,53,10,26,6,15,9,24
gene333,0,0,0,164,4,0,11,0,0,0,944,0,0,8,0,0,3,0,24789,0
gene334,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene335,0,0,168,0,0,255,23,8,63,0,0,0,0,0,0,0,0,0,0,0
gene336,3,262,275,3,100,0,0,44,78,532,2,3,2,0,3,2,0,0,47,251
gene337,20,1,0,0,0,75,0,0,0,50,94,0,0,0,1642,0,0,17374,6495,0
gene338,0,0,0,0,2947,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
gene339,4,1,0,0,0,11,0,35,1,0,111,0,0,10501,5,1407,0,0,0,0
gene340,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
gene341,1,0,0,1,0,0,0,0,0,0,0,0,62063,0,256501,0,0,1033,24,0
gene342,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
gene343,0,1,0,29,4,0,13,36,27,12,65,18,17,6,23,5,14,7,0,0
gene344,1315,10,39,1509,0,961,988,0,154,0,11,89,6,32,0,5,0,2,17,11
gene345,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,3,0,2,3,1
gene346,0,0,106,0,71,0,0,227,4,48,0,0,0,0,0,0,0,0,101,0
gene347,79,0,0,2,3636,319,723,732,0,0,19,11,0,0,15,0,1,0,0,3
gene348,0,1,0,1,0,2,0,0,0,1,0,0,0,266227,0,0,0,43487,0,0
gene349,0,0,0,0,0,0,0,0,0,0,5072,1992,1,16189,9,56,787,115,117,67
gene350,0,0,0,0,0,0,0,0,1,0,18,42,0,0,20,1,0,1,0,615
gene351,0,0,0,0,0,0,0,0,0,0,6,14,5,0,1,20,6,1,1,1
gene352,0,0,1,0,1,4,1,0,2,2,0,8,0,3,7,16,2,2,13,2
gene353,4942,39987,0,0,0,0,6,6,4745,0,0,0,1,0,1,0,0,0,0,1269
gene354,0,0,0,1,0,2,0,0,43,98,24,39,56,9,8,1,5,16,33,6
gene355,0,1,1,0,1,3,2,1,0,1,0,0,0,5,0,121,0,0,0,0
gene356,0,2,1,0,0,31,13,17,8,0,1,1,0,9,10,4,4,0,0,4
gene357,0,10893,9,0,0,0,35412,0,0,0,4,2,0,0,2,0,1,5,0,0
gene358,2,8,10,1,1,1,2,1,6,13,75,832,1,3,0,796,0,0,369,1131
gene359,0,0,0,0,0,0,0,4,2,3,6,10,4,0,4,16,13,3,2,5
gene360,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2
gene361,29,9,0,1,0,0,30,34,0,0,60,8,535,171,127,24,1,33,17,677
gene362,0,0,0,0,0,1,771,98,425,0,2297,241,245,179,33045,22,5,3876,0,18
gene363,0,0,0,1,1,0,0,0,0,0,1731,1,10,0,333,105599,7,12625,0,108
gene364,0,13515,0,0,0,0,12802,90,631046,402,0,5258,0,0,0,0,212,7,0,0
gene365,72,0,0,0,3,4,3,1,17,33,1,3,0,0,0,1,0,1,3,3
gene366,932,0,0,0,357,96,1008,0,0,104,44,3,10,4,0,50,5,0,6,12
gene367,0,0,4,0,0,0,0,0,0,0,7,1,0,3,3,0,1,5,0,3
gene368,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
gene369,0,0,0,0,0,0,0,0,0,0,4115,0,26,424,131,55,514,5271,17,6098
gene370,0,0,1,0,0,0,0,0,0,0,305,401,5,110,1680,51,18,1019,389,785
gene371,27,219,35,183,562,337,4,453,19,357,0,6,0,2559,0,0,13150,0,575,70
gene372,0,0,0,0,0,0,0,0,0,0,0,1,534,0,0,0,3404,6,239,0
gene373,0,0,0,0,0,0,1,0,0,1,2,1,1,2,4,1,2,4,6,4
gene374,1,0,0,2,0,1,0,1,0,2,0,0,1,0,0,31,22212,0,0,17683
gene375,0,1,1,2,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,1
gene376,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,3891,0,4164,3,0
gene377,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,4,0,0,2,0
gene378,1,4,0,0,0,401,176,0,687,147,3,158,21,0,10,1,19,1,11,0
gene379,0,0,232,10677,0,0,0,0,37,0,0,0,0,0,1,0,3,0,1,0
gene380,0,0,1,0,0,0,0,0,0,0,369,21,5780,9937,200,742,0,27202,0,1661
gene381,16,3,6,1,0,3,0,6,74,0,0,0,0,0,0,0,0,0,0,0
gene382,4,2,1798,110,846,2,8,100,0,1645,0,0,0,0,0,1,0,0,0,1
gene383,118,0,230,0,1,0,63,2,5,0,0,0,0,0,0,0,0,0,0,0
gene384,0,0,7,6769,15335,0,0,8,327,0,8,162,7,12,1,5,2,56,0,4
gene385,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1
gene386,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
gene387,0,0,1,0,0,0,0,0,0,0,2342,3702,1524,9581,1898,3312,7029,45596,2431,1150
gene388,0,0,0,0,0,0,0,0,0,0,265,0,1,0,15,0,0,24274,0,0
gene389,0,0,2,0,4,0,3,0,0,0,1663,0,0,10005,0,224,0,94476,38,165
gene390,222,251,0,108,0,185,314,21,246,416,0,1,0,0,0,0,0,0,0,0
gene391,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,2,0,0
gene392,0,0,0,0,0,0,0,0,0,0,11,6,2,0,0,6,1,3,43,0
gene393,0,1,9,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0
gene394,8876,249537,130486,141403,5056,54976,0,2135,61,23,0,750,1,212,1341,1,10012,0,0,140
gene395,0,0,3,0,0,1,48,0,1,7942,37,28,3,27,2,19,31,13,15,6
gene396,1,0,0,2,0,0,0,0,0,0,3,191,657,5,0,64,0,0,0,0
gene397,0,0,0,0,0,0,0,0,0,0,8,4,9,0,3,57,25,988,45,32
gene398,1,1364,13,134,12,11,35,45,2,3,0,0,1,0,0,0,0,0,0,0
gene399,0,0,3,0,16,1,1,0,2,3,0,0,1,0,0,0,10,307,65,0
gene400,0,6,0,2,0,1,0,1,2,0,0,5,0,517,2,0,10,125,0,4
gene401,0,14,11,207,0,8,0,0,0,0,41859,416986,0,0,539464,0,9,2,12,12869
gene402,19,76,68,0,0,7,2,1388,1777,1346,0,1,0,0,1,0,0,0,0,1
gene403,0,0,0,1,0,1,3,1,2,0,0,0,0,2,0,1,2,0,0,0
gene404,0,8,0,0,0,1025,341,11943,4152,18957,29,54,1,9,3,67,0,149,329,39
gene405,30,0,0,3457,0,0,175,0,15,1,0,0,0,0,0,7268,0,0,0,0
gene406,4,28,299,72,0,69,17,0,28,4,0,0,1845,9,1140,4,0,0,0,0
gene407,3,0,1,2,2,0,1,0,0,2,44,36,12,28,0,42,20,75,7,0
gene408,2,2,2,4,4,2,3,2,0,3,0,1,0,0,1,0,0,0,0,0
gene409,66,6,11,0,13,10,219,19,3,1,1,2,0,0,5,0,2,0,3,2
gene410,0,67,0,16,0,2,37,1,15,0,0,1,0,1,4,1,0,2,0,0
gene411,0,0,0,0,0,0,0,0,0,0,2,2,0,4,3,1,1,3,0,2
gene412,1,0,357,0,598,692,0,1,0,0,6,0,1,1,0,2,0,4,0,7
gene413,1,1,0,12,20,1,4,3,16,7,4161,77850,0,0,380,0,2838,28,17,26444
gene414,40,1,3,1,0,0,1,1,26,10,1,47,32,476,4,226,681,270,155,8
gene415,0,0,0,839,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
gene416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene417,2,2,5,0,0,0,0,1,0,0,0,38,0,22,1,52636,0,0,2,0
gene418,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1
gene419,2,0,1,0,0,3,1,0,0,2,12,4,167,2,0,0,0,0,0,0
gene420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0
gene421,0,0,0,0,0,1,0,0,0,0,0,0,81,0,0,124,1,0,0,0
gene422,20,0,10,8,0,0,26,44,38,12,0,0,0,0,0,0,0,0,0,0
gene423,2,561,11,32,14,0,160,180,930,0,0,0,0,343,0,0,159,301,0,3
gene424,0,0,0,0,0,0,0,0,0,0,5,9,8,13,0,69,78,4,23,1
gene425,1462,1,0,5,1,2,0,0,319,0,6,3,3,0,11,4,2,4,1,5
gene426,0,0,97,1915,0,1,0,0,6,0,0,0,0,0,0,151361,0,2930,0,0
gene427,0,1,1,0,0,0,1,0,1,1,28,0,11,6,0,0,0,0,0,65
gene428,0,0,28,0,10501,0,0,0,2386,0,0,0,0,1,1,0,0,0,0,0
gene429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
gene430,0,2645,70,15,0,82,2,0,0,590,55,0,0,2,18,0,2,0,32,0
gene431,0,0,8539,12,20,38,0,0,672,0,0,0,0,0,679,53009,0,0,0,28275
gene432,0,0,0,0,0,1,0,0,0,0,100,3721,0,161,495,14,0,184,4,810
gene433,118,10296,30819,1380,0,0,0,807,3252,0,0,3,0,2,0,0,1,1,0,0
gene434,0,199,6,0,0,160,317,0,0,0,0,0,0,0,0,0,0,0,0,0
gene435,1,0,0,0,1,0,0,0,0,0,5177,558,0,0,1,11,0,0,0,349
gene436,2,5,41,1,0,0,0,2,0,6,1,0,1,1,1,0,1,2,0,0
gene437,0,0,0,0,0,1,0,0,0,0,5,4890,0,0,0,2524,2148,73,3,0
gene438,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,43,0,0,0,4
gene439,64,168,113,118,10,9,5,0,153,346,26,0,0,22,8,0,0,0,1,13
gene440,4,0,0,1,1,2,3,0,1,1,7,2,2748,0,30,144,1,187,2592,61
gene441,1,2,0,0,0,0,1,0,0,0,0,32,3,0,0,0,0,121,24,0
gene442,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0
gene443,75,0,3,0,0,1723,1,0,0,0,41,36,0,0,0,0,57,0,0,0
gene444,0,1,0,0,0,0,0,0,0,0,363,0,0,444,0,0,43,525,0,6
gene445,7449,104,139870,0,0,0,2768,0,0,13,0,34,0,0,0,0,4,0,0,3014
gene446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene447,0,0,0,44,0,0,3,4,38,0,0,0,0,0,0,0,0,0,1,0
gene448,0,0,0,1,0,1,0,2,0,1,140,10,5,10,476,0,1,0,252,0
gene449,5,5,20,7,25,12,10,3,0,21,42488,0,1060435,589,826,1407,28,528,959,305905
gene450,7,6,29,29,5,7,35,0,38,7,0,0,0,0,1,0,0,0,0,0
gene451,0,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
gene452,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
gene453,10,2,0,0,2,0,15,2,13,2,0,0,0,0,0,0,0,0,374742,0
gene454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gene455,0,3,11507,1147,0,1,5,0,1,297,1,0,0,0,0,0,0,0,0,0
gene456,0,1,0,2,0,0,0,0,0,0,1,318,0,1,7,0,19,55,24,0
gene457,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene458,0,0,8,6,0,10,0,0,4,9,0,0,4,1,1,0,0,2,2,3
gene459,0,10,2,0,2,5,5,5,0,4,0,2,0,2,0,2,0,1,0,0
gene460,16,5,110,5,97,50,8,14,30,23,1,9,10,1,1,3,4,1,6,1
gene461,0,0,356,0,0,279,31,50,1246,0,1,32392,9162,4914,13005,479,0,0,0,1120
gene462,0,0,0,638,23062,12216,69,185728,0,0,79,2,27,25,23,28,4,57,0,1
gene463,0,0,0,2,1,0,1,2,4,2,4,2,179,23,7,0,44,2,143,193
gene464,0,0,0,0,0,0,0,0,0,0,224,0,22,0,0,49,0,34,0,45
gene465,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,127,0
gene466,807,415,0,0,328,7,0,0,7,0,0,0,0,0,1,0,0,0,0,0
gene467,18748,0,11574,0,0,0,2193,0,2,0,0,0,0,0,0,0,0,0,0,0
gene468,1,1,0,5,3,0,3,0,0,2,0,0,0,9,4,0,0,2,2,3
gene469,0,1,7,0,1,0,2,5,0,3,1,0,0,0,0,0,0,0,0,0
gene470,418,27864,67,0,3332,0,0,0,245,2,0,0,0,0,0,0,0,0,0,0
gene471,0,17,0,2342,807,304,354,4,92,1786,227,0,30043,466,3,4461,1965,28969,11287,56502
gene472,2,0,4,4,2,1,16,1,1,3,0,0,0,0,17,1043,0,0,1111,0
gene473,0,76,785,5440,10,2,743,1426,447,10,223,2,0,1,10117,0,0,18463,22,217
gene474,0,0,422,0,0,4112,0,0,0,0,0,94,0,41193,0,0,0,28113,0,0
gene475,1314,2251,0,10,32,1132,40,977,46,0,0,0,0,0,1161,0,0,5,0,2
gene476,0,0,0,0,0,0,0,1,0,0,12,0,0,27,27,0,29,0,0,0
gene477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
gene478,0,0,0,0,1,0,0,0,0,0,570,183,2034,850,609,564,417,732,179,1764
gene479,0,6,130,0,0,2,102,2,1,1,4,0,2,1,0,0,2,0,0,1
gene480,0,2049,3,0,0,48229,0,0,2,0,0,4,2,0,1,0,2,0,3,0
gene481,23,43,0,72,41,0,1,89,191,386,0,0,0,0,0,0,0,0,1,0
gene482,0,0,0,0,0,0,0,0,0,0,3,0,0,50,1645,351,0,6,7,642
gene483,1,2,0,1,0,6,3,0,22,4,0,651,0,0,0,58,0,0,20,0
gene484,0,3,11,0,0,0,330,0,0,524,0,0,0,0,0,0,0,0,0,0
gene485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene486,0,1,0,0,0,0,0,0,0,0,0,2591,310,7309,228,83,203,5,63,2
gene487,0,0,0,0,0,0,16,0,0,16,1356,0,0,0,0,0,0,0,7509,0
gene488,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,2,1,1,2
gene489,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
gene490,0,3,0,1,9,46,1,3,0,9,2,3069,2017,1,100,0,27099,0,107111,17
gene491,1,0,0,0,0,0,1,2,2,1,0,0,0,1552,0,0,0,3,0,0
gene492,1,0,0,0,1,6,14,28,79,0,483,21,15,9,69,608,260,961,7135,192
gene493,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
gene494,1,0,2,0,0,0,4,7,1,2,0,0,0,0,1,0,0,0,0,0
gene495,0,43,26917,2,0,0,0,0,10091,0,8,4,12,2,13,9,13,3,7,2
gene496,0,0,0,0,0,0,3203,444,169,0,0,0,2,0,2,0,0,1,0,0
gene497,0,30,2,56,94,4,5,0,69,378,0,0,0,0,0,9898,0,0,4847,0
gene498,988,235,632,15,0,6,17190,0,152,28,0,0,0,0,0,0,0,0,0,0
gene499,0,5,244,0,350,0,0,62,1,3412,1,0,0,0,1,1,0,2,1,2
gene500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
gene501,0,1,0,1,1,2,1,0,0,0,0,8,0,0,0,2094,12988,2,0,1347
gene502,0,0,0,1,1,0,0,1,0,0,1,0,2,3,2,1,0,2,9,2
gene503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene504,398,33,0,0,0,0,197,0,19,0,1,0,2,0,0,1,0,0,0,0
gene505,0,0,0,0,0,0,0,0,0,0,0,0,12522,8,0,0,0,0,934,0
gene506,0,0,1,0,0,1,0,13,13316,177737,3,0,0,19,0,82,7,0,0,0
gene507,60656,0,0,44,0,0,0,179557,0,0,0,2,0,1,2,2,0,0,1,0
gene508,3,0,1,0,1,3,0,1,1,2,0,7,0,1,1,0,0,2,6,12
gene509,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,1668,0,0,17
gene510,1,0,0,3,0,0,0,0,1,2,0,1,90,50,0,0,3,16,169,0
gene511,0,0,46674,9,2760,170,4136,39388,1,13241,1,0,0,0,0,0,1,0,1,0
gene512,0,0,1,0,0,0,0,0,0,0,37,3,815,46,0,0,6,11,0,0
gene513,2,0,0,0,0,0,1,0,1,0,5,0,1,0,2,0,3,4,4,0
gene514,1,1,0,0,0,2,0,1,0,3,0,0,0,0,0,0,3,0,2,0
gene515,0,4,9,3,35,20,5,10,7,4,0,0,266,0,0,28,40,0,1,1
gene516,0,0,0,0,0,0,1,0,0,0,10,0,0,2,1,29,1,19,10,1
gene517,8,21,1,13,3,5,8,38,63,8,0,0,127,0,2393,0,0,2,0,0
gene518,0,1,0,992,138,0,0,26,0,10,0,0,0,0,0,0,0,0,0,0
gene519,1,8,8,3,3,7,0,9,1,4,9,612,0,377,0,0,6,0,109,0
gene520,0,16,8749,0,118,1,0,0,16317,48350,0,0,0,0,1,0,0,0,0,0
gene521,4,2,4,3,0,6,0,2,0,0,3,1,1,0,0,0,0,1,1,3
gene522,0,0,3,0,2,1,0,1,0,0,706,0,1219,53346,15,2250,10441,10558,16786,8152
gene523,0,1,477,4455,0,0,0,0,0,0,10,5,22,0,3,6,2,1,0,0
gene524,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
gene525,0,0,0,0,0,0,0,0,0,0,0,11,843,480,3,26,0,0,85,0
gene526,1,0,3,2,1,4,4,1,4,0,0,0,0,0,0,0,0,0,1,0
gene527,3,0,11155,1072,89099,28,465,102,24,15975,3,5,2,3,1,0,0,1,1,9
gene528,0,0,0,0,0,0,0,0,0,0,0,15,0,6,4,11,19,0,1,0
gene529,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene530,4,10,118,13,0,283,0,0,32,0,0,0,0,0,0,0,0,0,0,0
gene531,2,4,8,1,4,2,0,0,9,6,0,2,456335,2331,31,13,4,0,0,4
gene532,1,7,4,0,2,0,1,9,1,0,0,262,289,4,1,2,737,1,886,1619
gene533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,9813,0,84
gene534,0,37,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
gene535,8,72,0,2,25,37,28,0,4,7,0,1,0,0,0,0,0,0,1,0
gene536,0,1,0,2,1,0,2,0,0,2,29,0,446,0,0,0,0,0,3,2359
gene537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4881,21511,37890,0,156,0
gene538,0,0,3,0,5,0,1,0,1,5,0,0,10,0,6,2,6,147,953,3
gene539,0,95,22,14,74,0,49,0,9,1,1152,40,4,53,1646,17243,2,23535,73992,17643
gene540,6,2,0,0,1,0,0,8,5,0,0,0,0,1189,0,0,3698,6,0,8
gene541,0,0,0,0,0,0,19810,5,0,1,0,0,0,0,2380,0,0,45696,0,16021
gene542,2,2,7,0,2,1,0,0,4,0,283,14,2,34,32,14,4,2,345,39
gene543,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene544,0,34,4,3,0,34,2,0,12,0,29,0,0,0,0,7174,0,733,0,0
gene545,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,2,2,4
gene546,0,0,3,2,2,0,0,3,1,3,1,0,0,1,1,0,3,0,0,0
gene547,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
gene548,0,0,1,0,1,4,1,0,0,0,0,174,1512,0,520,1,383,3351,436,97
gene549,0,1,0,0,1,1,2,0,0,0,1,0,24,0,0,0,0,1,1,3
gene550,2,281,0,0,0,89,0,0,2,17,0,101,0,0,0,0,0,334,390,1872
gene551,0,692,54,6,9,0,16,0,19,199,1,1,1,0,0,0,2,0,3,24
gene552,1,0,0,0,0,0,0,0,0,0,161,0,68,9,81,0,74,34,1,4
gene553,1,0,0,0,0,1,0,3,1,0,246,167,990,0,670,0,11,1276,0,1011
gene554,0,0,1,0,0,0,0,0,0,0,3,0,6,1,2,0,2,5,4,4
gene555,0,117,0,0,0,0,0,15549,0,0,0,0,1,0,0,0,9617,0,0,15
gene556,0,0,1,1,0,1,1,0,0,2,1,5,4,0,0,3,3,0,0,3
gene557,756,1293,0,49,2638,4,0,148,8889,91,4,7,118,0,107,29,0,11,0,12
gene558,308,456,92,0,959,893,5,2,28,2165,0,0,0,0,0,0,0,0,0,0
gene559,0,26,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
gene560,5,1,0,31,3,23,10,1,0,10,1,0,0,1,0,0,0,0,0,0
gene561,1,6,2,27,0,28,4,24,7,2,0,0,6,0,2,4,1,0,3,0
gene562,0,0,0,0,0,0,0,0,0,0,0,1,0,67,12,678,163,48,134,7
gene563,14,58,22,25,14,94,120,21,80,69,0,2,2402,0,54803,0,33285,0,0,5475
gene564,12,0,0,261,0,23,0,4,4,1,0,0,112,306,1,344,18,182,13,0
gene565,119,0,14,17,155,87,0,1,0,1,0,18,11,2,77,0,0,0,290,0
gene566,0,0,1,0,0,0,1,0,0,0,45,57,9,2,14,15,38,24,10,4
gene567,185,5598,1019,1283,1356,1,121,434,100,13,0,4,619,6,34,0,2948,0,42,0
gene568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene569,2,2,2,0,0,2,5,4,0,0,5,60,0,12,868,0,5,954,36,108
gene570,7,110,629,0,0,0,25,0,13,0,1,2,3,5,3,2,3,0,2,1
gene571,1,1,0,1,1,3,0,2,1,1,7,0,5,3,4,0,9,14,2,8
gene572,12,18,102,12,56,9,3,51,14,7,0,1614,0,84,30,0,0,0,0,0
gene573,570,1481,8,488,55,48,123,0,1040,99,0,0,0,0,0,0,0,0,0,0
gene574,0,0,0,1,0,1,0,0,0,0,0,2678,0,12,0,0,0,0,0,344
gene575,10,0,0,1,2,20,0,0,17,18,0,0,0,0,0,0,0,0,0,0
gene576,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene577,108,0,0,0,1529,62,0,0,5,0,10,5,0,3,1,0,1,11,6,26
gene578,0,0,0,0,0,0,0,0,0,0,16793,1,0,0,176,175,0,4,91,0
gene579,1642,23,45,31,118,1047,1837,1,3,21,1,2,10,13,2,4,6,2,0,5
gene580,0,0,0,2,1,0,1,0,0,2,859,0,39,0,0,463,0,20,0,0
gene581,0,0,0,0,0,0,0,0,0,0,0,0,615,0,84,3,0,17,0,8
gene582,18,0,4,14,19,14,3,22,2,0,1,5,2,1,2,1,0,0,2,0
gene583,6,5,0,23,0,23,0,28,44,0,2,2,6,1,2,2,1,10,5,0
gene584,0,20,2,6,12,40,9,0,3,0,0,0,0,0,0,0,1,0,0,0
gene585,1,3,3,1,1,3,3,4,3,2,389,164,11,117,17,357,5,21,59,56
gene586,108629,9549,53150,0,0,14561,0,12838,26,2,0,0,51,158,16288,0,939,2,268,2906
gene587,1,0,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0
gene588,31,0,294,1,181,1,183,336,55,0,0,1,16,7,2,0,0,17,0,11
gene589,1,0,0,7,1,37,39,0,0,0,0,0,0,0,0,0,0,0,4309,0
gene590,0,22,19,0,249,0,7,0,0,0,1,0,0,3,0,0,0,0,0,0
gene591,374,3,106,24,9,0,0,269,846,148,2,1,2,0,0,2,0,1,1,1
gene592,5,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0
gene593,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
gene594,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
gene595,0,950,0,0,0,0,0,0,2196,0,81734,0,1,0,0,0,1,11823,0,0
gene596,0,0,0,0,219,0,2,0,0,0,2,7,16,4,1,7,0,0,13,2
gene597,0,3,0,5018,0,111,0,0,0,0,0,0,1,0,0,0,0,1,0,0
gene598,2,3,10,9,8,0,0,4,19,0,2641,1,0,0,7,0,0,0,1,0
gene599,0,0,0,1,0,0,0,1,0,0,11,9,0,0,3,5,16,59,22,4
gene600,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,2,0,1
gene601,301,14728,20240,627,0,0,1,554,0,29,0,0,0,1,0,0,0,0,0,0
gene602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene603,0,0,60,1,0,1,0,43,0,0,0,14,0,2,157,597,0,0,15,1
gene604,5,3,0,32,1,1,8,3,6,4,0,0,0,567,0,2907,11591,0,0,0
gene605,0,97,0,0,0,0,0,0,0,0,4,1,0,27,22,2,27,2,3,32
gene606,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,1,0
gene607,0,6690,0,0,0,0,0,0,0,0,8,6,4,14,0,1,3,0,3,11
gene608,0,0,4,0,0,3,1,1,1,0,14,5,6,1054,8,0,418,47,8,46
gene609,57,0,0,69,17,0,31,0,20,250,0,0,0,0,0,0,0,1,0,0
gene610,1,3,21,5,18,0,0,3,0,0,0,2,0,0,4,0,2,1,2,0
gene611,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
gene612,0,0,831,0,0,0,0,7,0,0,910,5,3,0,10,0,0,0,0,1915
gene613,1,0,7,20,33,89,137,1,28,25472,23,14,38,12,14,11,39,0,0,15
gene614,0,2,50,5,6,18,1,10,30,0,10,9,0,0,0,47,1,6,1,120
gene615,2999,1,0,0,0,58945,0,0,3809,27,0,0,2,4,1,1,3,2,0,1
